mirror_type,mirror_id,normal_x,normal_y
1,4,18.873190009054344,261.40111953657936
0,10,23.411829439153156,270.871271286572
0,11,38.368625416396135,266.128609166723
0,12,37.77870171303356,256.4557224160712
1,5,44.93743026764688,249.9437365894835
0,13,49.841206537884915,243.25627078548703
0,14,63.46907843105212,239.84757121445733
0,15,123.25056627639053,227.84524776849432
1,6,116.9018331093835,224.79180713988416
3,0,-35.3915930086582,258.0977052367921
0,3,-34.926797391045895,222.2624818241987
3,1,-79.18152805078019,316.07567650317907
1,1,-64.03407027311962,338.8471196296199
0,4,-52.741724828291865,309.0536942643973
0,5,-51.89778965456061,312.99929800257087
0,6,-50.49670021361543,317.1613774477094
2,0,-43.87050489160247,293.3868435113262
0,7,-31.654461293078686,289.0941030786635
3,2,-27.326078041719967,304.17562271143487
4,0,-72.25963099601657,250.672393586408
3,3,-0.4102150867751071,364.21654985596086
