mirror_type,mirror_id,normal_x,normal_y
1,4,21.014092138551923,260.3566342946541
0,10,26.04214096865192,269.57627349618826
0,11,40.73022741964568,264.05733281014574
0,12,39.63487240849095,254.4285766357345
1,5,46.44297916914376,247.55085635501152
0,13,50.99004006673795,240.61591167017502
0,14,64.4208378835117,236.49865589635425
0,15,123.49224420275662,221.38405988552657
3,0,-33.34921022623024,259.8977465189038
0,3,-34.76052227933571,224.08730851145418
3,1,-74.04480011702522,320.08804911491575
1,1,-57.7263361527514,342.03552808252005
0,4,-48.008733881136834,311.691937874222
0,5,-46.959458346637525,315.5879661452759
0,6,-45.342462642356466,319.67101424951244
2,0,-39.96961125853267,295.5822742171852
0,7,-27.994973998643427,290.65607851285887
3,2,-22.88321689452176,305.4903993706795
4,0,-70.55533263448461,254.4121350229426
0,17,-118.13100867544077,261.7307916989244
0,9,-23.82291560635177,258.38880347428295
1,8,76.06654873055005,306.29928045623103
0,18,-13.7913255624634,361.6372407499574
