mirror_type,mirror_id,normal_x,normal_y
1,4,-5.145671569541677,265.20809732889023
0,10,-6.132786986805991,275.66317385645976
0,11,9.130341016315443,279.3012383759883
0,12,13.606582678762628,270.7061229814112
1,5,23.09673135434693,268.81127944179633
0,13,30.74438753687114,265.60463392005994
0,14,44.18136376686128,269.70168101483364
0,15,101.60575389726274,290.20342423962575
1,6,97.73646560883294,284.31627546969287
3,3,104.42530566036466,271.6488677295003
0,16,124.14054413826796,264.86786490412425
1,7,95.9631031356627,249.8551978150231
0,17,71.4891002979978,244.28082656300668
0,19,87.3043782983561,231.0428949980306
0,18,72.2199540341441,230.6432250425383
3,0,-49.95828501042739,234.42808922958636
3,1,-117.3544481366343,261.571426515649
1,1,-116.09870287162366,288.8918804470196
0,4,-91.07452516300421,269.16991830716535
0,5,-92.38326768183629,272.9866195602832
0,6,-93.32592901274593,277.2758323720215
2,0,-75.40138086417257,260.30982217494875
0,7,-62.719262979039485,262.92195302366946
3,2,-66.77667122944882,278.07862067503066
1,2,26.70587741001311,309.726316275489
0,3,-53.444099950472776,293.0985498051293
