mirror_type,mirror_id,normal_x,normal_y
1,8,47.57174462116359,340.98317698630166
0,20,24.43581079099029,308.17676083292537
0,21,45.353585000216356,319.1163575179604
2,4,47.478617642227306,302.2847547652856
0,22,70.01812841986786,307.41545454082416
0,12,-52.427040147773816,222.7668504375394
1,5,-52.546716342986215,232.44357671932573
0,13,-51.0001808471975,240.5908123577762
0,14,-57.801402080499116,252.88233442942385
0,15,-89.7943350728805,304.7893117605
1,6,-83.23136435809884,302.22858375947743
3,3,-72.23145791423615,311.4049587691168
0,16,-69.69766483684164,332.0992217470366
1,7,-49.15464114125269,307.6588344336991
0,17,-38.61365196443577,284.87862422993743
0,19,-28.953182155283507,303.10062119553004
0,18,-25.4260177934485,288.42892384925574
1,9,106.37664131293833,290.2869844493165
0,23,119.13351048104984,284.5558415672942
0,24,118.66927988838934,267.97501444263577
2,1,115.16253276200608,257.1293825405147
1,2,96.18527528221355,249.13147471180952
1,3,120.18531290296202,228.7029054009055
2,2,98.56954753546289,229.2219465761912
0,8,95.99997739705249,220.06587689588997
3,4,14.132183327724675,275.2202987531902
0,5,-124.10988314891762,239.7243586623913
4,0,16.229789659571694,318.4615728547936
0,7,12.905088717383878,336.7568334080941
-1,-1,74.88701263883361,343.83520913431795
