mirror_type,mirror_id,normal_x,normal_y
3,0,31.3732298584835,261.4695122740401
0,0,-32.4309203551042,250.4710584804809
0,1,-29.430944487624277,261.65116452833433
1,0,-19.260433694223597,254.48602171765276
0,2,-11.934731736918113,260.7898538654872
0,3,-3.836865077177137,254.78905670436524
3,1,80.8663430453227,314.66194886265646
1,1,105.92216522289569,303.69883460654387
0,4,78.54226414251367,287.4044712416588
0,5,82.57447309916851,287.25850423845816
0,6,86.91661783356207,286.6014380053053
2,0,64.65389923129277,275.94750498628014
0,7,62.547668880721055,263.1716239859897
3,2,78.15168220612262,261.5278770027221
1,9,-0.5,219.5
0,23,-135.07340015226828,230.74367587491426
0,24,-125.6534979325391,244.39668947454535
2,1,-116.80553783511486,251.582690370669
1,2,-96.53389772452559,247.95454507071855
1,3,-105.53582663040186,278.1587422270957
2,2,-87.69001049790704,265.9506480789657
0,8,-80.54823469534114,272.2300860373046
0,9,-70.36978461018296,275.302291217602
2,3,-54.50498654986387,277.87448869060665
4,0,17.65865776599343,296.48805008564096
