mirror_type,mirror_id,normal_x,normal_y
0,22,-111.23646489323696,233.0556071500204
3,0,45.95957571772373,244.32524203059074
0,0,-16.514769890176307,261.3220567672342
0,1,-9.070951416536731,270.1868293519209
1,0,-2.881458486111528,259.3947610348485
0,2,6.42199682792699,262.01199777137595
0,3,11.22510997474282,253.151122244276
3,1,113.29566469247584,271.6172680591494
1,1,131.37073915243286,251.09226422349207
0,4,99.6698260735504,247.89580202231537
0,5,103.2625601287614,246.05942585042766
0,6,106.92019152467896,243.62885194684603
2,0,82.24076964163436,243.38174092645008
0,7,74.93255605306946,232.69299189921753
3,2,88.37991734609452,224.6087102206044
1,9,-115.97777484297106,272.96608105639973
0,23,-117.87760075655642,286.8215626865901
0,24,-103.57025714669385,295.2143725265837
2,1,-92.51434680342182,297.98779158006846
1,2,-75.67532197519802,286.1324099360526
1,3,-71.06899494144253,317.31108856658227
2,2,-60.05455634258767,298.7048299819964
0,8,-50.928104164790525,301.3776886264303
0,9,-40.40492557963976,299.86045322250413
2,3,-24.939477932913586,295.486902442965
4,0,48.32942581306417,281.8588441581277
