mirror_type,mirror_id,normal_x,normal_y
1,8,34.66495605499835,345.2930198443035
0,20,15.084967556931007,310.24795706167725
0,21,34.744652780121555,323.3141282845129
2,4,38.61742584104236,306.7968572092999
0,22,60.497158657270404,314.25547089902557
1,5,-53.559567884829946,226.88278199497068
0,13,-52.87312249347053,235.14704320289806
0,14,-60.92189983860236,246.66030982669372
0,15,-98.16532876986196,294.93876318371497
1,6,-91.37064173255756,293.07808036190204
3,3,-81.39018630525885,303.3539895457635
0,16,-81.03341311899605,324.1997406824322
1,7,-58.04821012913421,302.0405710658079
0,17,-45.183785228436456,280.48698663704886
0,19,-37.48095382417155,299.6189556602592
0,18,-32.43950166062987,285.39632047760784
1,9,98.44690846924985,301.0213318382705
0,23,111.7329617315104,296.65504068686437
0,24,113.0044426216569,280.11651975762277
2,1,110.65058305884428,268.96374647366974
1,2,92.61329399584021,259.02598845948773
1,3,118.61722385616238,241.21801603960802
2,2,97.06561733661599,239.47475111680853
0,8,95.46719346553581,230.1002461264048
0,9,89.49045345341386,221.3071880898965
3,4,8.282672778928927,276.39501158468886
-1,-1,-30.6337626351551,312.8900050221745
