mirror_type,mirror_id,normal_x,normal_y
1,4,25.775692805887005,257.4948484511745
0,10,31.88985469839073,266.03300085064546
0,11,45.79586870259968,258.76517005991656
0,12,43.53522810881326,249.34167536991703
1,5,49.45440501932651,241.68552107246708
0,13,53.12241565922032,234.2481210876741
0,14,65.95133508794517,228.52475220270784
3,0,-28.23831809871845,263.6646011198498
0,2,-42.41184333954801,222.73597232106565
0,3,-34.00330501281191,228.2930843602173
3,1,-61.29521657686741,328.36579914712445
1,1,-42.423663117249625,348.1609644459424
0,4,-36.47644779461776,316.8592729494008
0,5,-34.96018699355785,320.59838629608066
0,6,-32.8576457384982,324.45393777413733
2,0,-30.46052170534014,299.8899656868026
0,7,-19.175493811707785,293.541147917864
3,2,-12.293990027082756,307.64192951558056
4,0,-65.83563958371579,262.7541642486796
